,Unnamed: 0,CM_candidates,L1,L2
363,363,నాకు 4 months నుంచి acidity సమస్య ఉంది.,నాకు 4 నెలల నుంచి అసిడిటీ సమస్య ఉంది.,I have acidity problem since 4 months.
364,364,constipation ఉంది.,మలబద్ధకం ఉంది.,There is constipation.
365,365,బాగా pain motions అయ్యేటప్పుడు.,బాగా నొప్పి కదలికలు అయ్యేటప్పుడు.,Very painful movements.
366,366,"తం వారం రోజులుగా left side breast లో నొప్పి, వాపు ఉంది.","తం వారం రోజులుగా ఎడమ వైపు రొమ్ము లో నొప్పి, వాపు ఉంది.",There has been pain and swelling in the left breast for a week.
367,367,3rd month pregnant ని.,3వ నెల గర్భిణి ని.,3rd month pregnant
368,368,weight తగ్గించుకోవాలి అని వచ్చాను.,బరువు తగ్గించుకోవాలి అని వచ్చాను.,I came to lose weight.
369,369,"unmarried, నాకు విపరీతంగా పొట్టలో నొప్పి వస్తుంది.","పెళ్లికాని, నాకు విపరీతంగా పొట్టలో నొప్పి వస్తుంది.","Unmarried, I get extreme stomach ache."
370,370,ఒక్కోసారి periodicalగా ఉంది నొప్పి.,ఒక్కోసారి కాలానుగుణంగా ఉంది నొప్పి. ,Sometimes the pain is seasonal.
371,371,ఒక్కోసారి hold అయి ఉంటుంది.,ఒక్కోసారి పట్టు అయి ఉంటుంది.,Sometimes it is a grip.
372,372,lood తక్కువగా ఉన్నట్లు కనిపిస్తాడు.,lood తక్కువగా కనిపిస్తాడు.,lood appears low.
373,373,non veg తీసుకున్నప్పుడు motion సరిగ్గా రాదు.,మాంసాహారం తీసుకున్నప్పుడు విరోచనం సరిగ్గా రాదు.,Aversion does not come properly when eating meat.
374,374,ఎప్పుడైనా బయట తిన్నప్పుడు కానీ లేదా functionsకి attend అయినప్పుడు కానీ నాకు ఈ సమస్య వచ్చేది.,ఎప్పుడైనా బయట తిన్నప్పుడు కానీ లేదా ఫంక్షన్లకు హాజరు అయినప్పుడు కానీ నాకు ఈ సమస్య వస్తుంది.,I get this problem whenever I eat out or attend functions.
375,375,"2,3 days gap తో ఇల వస్తుంది.","2,3 రోజుల గ్యాప్ తో ఇలా వస్తుంది.",It comes with a gap of 2-3 days.
376,376,దీనివల్ల పుట్టబోయే బిడ్డకి ఏమైనా problem వస్తుందా?,దీనివల్ల పుట్టబోయే బిడ్డకి ఏమైనా సమస్య వస్తుందా?,Will this cause any problem to the unborn child?
377,377,నిన్న రాత్రి తిన్నా ఆహారం ఈ రోజు morning వాంతులు అవుతున్నాయి.,నిన్న రాత్రి తిన్నా ఆహారం ఈ రోజు ఉదయం వాంతులు అవుతున్నాయి.,The food eaten last night is vomiting this morning.
378,378,back side నొప్పి ఉంటుంది.,వెనుక వైపు నొప్పి ఉంటుంది.,There is pain in the back.
379,379,glucose ఎక్కించారు.,గ్లూకోజ్ ఎక్కించారు.,Glucose was added.
380,380,అప్పుడప్పుడు left side chestలో painగా ఉంటుంది.,అప్పుడప్పుడు ఎడమ వైపు ఛాతీలో నొప్పిగా ఉంటుంది.,Occasionally there is pain in the left side of the chest.
381,381,chest ముందు భాగంలో నొప్పి ఎక్కువగా ఉండేది.,ఛాతీ ముందు భాగంలో నొప్పి ఎక్కువగా ఉండేది.,The pain was more in the front of the chest.
382,382,ది తిన్నా కూడా bathroom కి వెళ్లాల్సి వస్తుంది.,ది తిన్నా కూడా బాత్రూమ్ కి వెళ్లాల్సి వస్తుంది.,The Tinna also has to go to the bathroom.
383,383,vomitings విరోచనాలు కూడా ఉన్నాయి.,వాంతులు విరోచనాలు కూడా ఉన్నాయి.,Vomiting is also present.
384,384,ఇంకా washroom కి వెళ్లాల్సి వస్తుంది.,ఇంకా వాష్‌రూమ్ కి వెళ్లాల్సి వస్తుంది.,Still have to go to the washroom.
385,385,20 days నుంచి chest లో pain వస్తుంది.,20 రోజుల నుంచి ఛాతీలో నొప్పి వస్తుంది.,Chest pain from 20 days.
386,386,heart problems ఏం లేవు.,గుండె సమస్యలు ఏం లేవు.,No heart problems.
387,387,dr ని consult చేస్తే dyspepsia అన్నారు.,dr ని సంప్రదిస్తే చేస్తే అజీర్తి అన్నారు.,Ajirti said if you contact dr.
388,388,ప్రతీ నెలలో 2 3 రోజులు digestion సమస్య వస్తుంది.,ప్రతీ నెలలో 2 3 రోజులు జీర్ణక్రియ సమస్య వస్తుంది.,Every month 2-3 days of digestion problem.
389,389,నాకు ఈమధ్య కడుపు నొప్పి వచ్చినప్పుడు endoscopy test చేసి acid refulx ఉంది అని చెప్పారు.,నాకు మధ్య కడుపు నొప్పి వచ్చినప్పుడు ఎండోస్కోపీ పరీక్ష చేసి యాసిడ్ రిఫ్లక్స్ అని చెప్పారు.,"When I got pain in the middle stomach, they did an endoscopy test and said it was acid reflux."
390,390,అలాగే acidity problem ఉంది.,అలాగే అసిడిటీ సమస్య ఉంది.,Also there is the problem of acidity.
391,391,tablets ఇచ్చారు.,మాత్రలు ఇచ్చారు.,Pills were given.
392,392,dr గారు నాకు gastric సమస్య ఉంది.,dr గారు నాకు గ్యాస్ట్రిక్ సమస్య ఉంది.,Dr. I have gastric problem.
393,393,"dr ని consult చేస్తే medicines, tonic ఇచ్చారు కానీ ఎలాంటి ఫలితం లేదు.","dr ని సంప్రదిస్తే చేస్తే మందులు, టానిక్ ఇచ్చారు కానీ ఎలాంటి ఫలితం లేదు.","After consulting the dr, he gave medicine and tonic but there was no result."
394,394,swellingగా అనిపిస్తుంది.,వాపుగా అనిపిస్తుంది.,Feels swollen.
395,395,ఈ సమస్యను acid reflux సమస్య అంటారని net లో చదివాను.,ఈ సమస్యను ఆసిడ్ రిఫ్లక్స్ సమస్య అంటారని అంతర్జాలం లో చదివాను.,I read on the internet that this problem is called acid reflux problem.
396,396,అలాగే acid కూడా form అవుతుంది.,అలాగే యాసిడ్ కూడా రూపం అవుతుంది.,Acid is also formed.
397,397,tea తాగినా ఇలానే ఉంటుంది.,టీ తాగినా ఇలానే ఉంటుంది.,Drinking tea is the same.
398,398,గత 2 years నుంచి acute gastritis తో బాధపడుతున్నాను.,గత 2 సంవత్సరాల నుంచి తీవ్రమైన పొట్టలో పుండ్లు తో బాధపడుతున్నాను.,I am suffering from severe gastritis since last 2 years.
399,399,అలాగే 2.5 years నుంచి bp కూడా ఉంది.,అలాగే 2.5 సంవత్సరాల నుంచి bp కూడా ఉంది.,Also has bp since 2.5 years.
400,400,వీటికి నేను dr prescribe చేసిన మందులే వాడుతున్నాను.,వీటికి నేను మందులు వాడుతున్నాను.,I am taking medicine for this.
401,401,నేను spicy food కూడా తినను.,నేను కారమైన ఆహరం కూడా తినను.,I also don't eat spicy food.
402,402,నాకు antral gastric సమస్య ఉంది.,నాకు యాంట్రల్ గ్యాస్ట్రిక్ సమస్య ఉంది.,I have antral gastric problem.
403,403,6 months నుంచి medicines వాడుతున్నాను.,6 నెలల నుంచి మందులు వాడుతున్నాను.,I have been using medicine since 6 months.
404,404,early morning వేసుకోవాల్సి వస్తుంది.,ఉదయాన్నే వేసుకోవాల్సి వస్తుంది.,You have to wear it in the morning.
405,405,వేసుకోకపోతే pain వస్తుంది.,వేసుకోకపోతే నొప్పి వస్తుంది.,"If you don't wear it, it hurts."
406,406,tablets శాశ్వతంగా వాడాల్సిందేనా?,మాత్రలు శాశ్వతంగా వాడాల్సిందేనా?,Do pills have to be used forever?
407,407,acidity gas problem అనేది heart కి ముప్పు కలుగుతుందని విన్నాం.,అసిడిటీ గ్యాస్ సమస్య అనేది గుండె కి ముప్పు కలుగుతుందని విన్నాం.,We have heard that acidity gas problem is a threat to the heart.
408,408,నాకు తరచూ chest pain వస్తుంది.,నాకు తరచుగా ఛాతీ నొప్పి వస్తుంది.,I often get chest pain.
409,409,dr గారిని consult చేశాను.,dr గారిని కన్సల్ట్ చేశాను.,I consulted Dr.
410,410,ecg తీశారు.,ecg తీశారు.,An ecg was taken.
411,411,"కొంచెం heart burn, acidiy కూడా ఉంది.","కొంచెం గుండె మంట, ఆమ్లత్వం కూడా ఉంది.",There is a little heartburn and acidity too.
412,412,dr గారు refulx problem ఉంది అని అన్నారు.,dr గారు రిఫ్లక్స్ సమస్య ఉంది అని అన్నారు.,Dr said that there is reflux problem.
413,413,dr ని సంప్రదిస్తే mild gastritis సమస్య ఉంది అన్నారు.,dr ని సంప్రదిస్తే తేలికపాటి పొట్టలో పుండ్లు సమస్య ఉంది అన్నారు.,On contacting the dr he said that there is a problem of mild stomach ulcer.
414,414,తినేటప్పుడు ప్రయాణాలు చేసినప్పుడు tensionగా ఉంటుంది.,తినేటప్పుడు ప్రయాణాలు చేసినప్పుడు ఉద్రిక్తతగా ఉంటుంది.,Tenses when traveling while eating.
415,415,vomitings అవుతున్నాయి.,వాంతులు అవుతున్నాయి.,Vomiting.
416,416,గుండెకు సంబంధించిన test చేయించాను.,గుండెకు సంబంధించిన పరీక్ష చేయించాను.,I did a heart test.
417,417,అన్ని normal అని వచ్చాయి.,అన్ని సాధారణ అని వచ్చాయి.,Everything turned out to be normal.
418,418,sir నాకు తిన్నాతరువాత food pipeలో అన్నం వచ్చినట్లు అయి almost గొంతు వరకు వచ్చినట్లు ఉంది.,సార్ నాకు తిన్నతరువాత ఫుడ్ పైపులో అన్నం వచ్చినట్లు దాదాపుగా గొంతు వరకు వచ్చినట్లు ఉంది.,"Sir, after eating I feel like rice has come in the food pipe almost up to my throat."
419,419,"almost గొంతువరకు వచ్చి, full food pipe మంటగా ఉంటది.","దాదాపు గొంతువరకు వచ్చి, ఫుల్ ఫుడ్ పైపు మంటగా ఉంటది.","Almost up to the throat, the full food pipe was burning."
420,420,తిన్నాతరువాత నేను పడుకునే timeలో suddenga నిద్ర రావడం లేదు.,తిన్నతరువాత నేను పడుకునే టైమ్‌లో హఠాత్తుగా నిద్ర రావడం లేదు.,After eating I do not suddenly fall asleep at bedtime.
421,421,దగ్గు start అవుతుంది.,దగ్గు ప్రారంభం అవుతుంది.,Coughing starts.
422,422,"కూర్చోవాలి, తరువాతa glass నీళ్లు తాగిన తర్వాత కడుపు మంట తగ్గుతుంది.","కూర్చోవాలి, తరువాత గాజు నీళ్లు తాగిన తర్వాత కడుపు మంట తగ్గుతుంది.","Sit down, then drink a glass of water to reduce heartburn."
423,423,నాకు thyroid సమస్య ఉంది.,నాకు థైరాయిడ్ సమస్య ఉంది.,I have thyroid problem.
424,424,gas సమస్య కూడా ఉంది.,గ్యాస్ సమస్య కూడా ఉంది.,There is also the problem of gas.
425,425,thyroid కి recentగా surgery కూడా చేయించుకున్నాను.,థైరాయిడ్ కి ఇటీవల సర్జరీ కూడా చేయించుకున్నాను.,I have also recently undergone thyroid surgery.
426,426,బహుశా దానివల్లే gas పెరిగిందని అనుకుంటున్నాను.,బహుశా దానివల్లే గ్యాస్ పెరిగిందని అనుకుంటున్నాను. ,I think maybe that's why the gas increased.
427,427,మా నాన్నగారు తిన్నా తరువాత vomiting చేసుకుంటున్నారు.,మా నాన్నగారు తిన్నా తరువాత వాంతి చేస్తున్నారు.,My father is vomiting after eating.
428,428,అప్పుడప్పుడు juice లాంటిది నోట్లో వచ్చినట్లు అనిపిస్తుంది.,అప్పుడప్పుడు రసం లాంటిది నోట్లో వచ్చినట్లు అనిపిస్తుంది.,Sometimes it feels like juice in the mouth.
429,429,నేను drink చేస్తాను కానీ ఎక్కువగా కాదు.,నేను తాగుతాను కానీ ఎక్కువగా కాదు.,I drink but not too much.
430,430,medicines వాడినా తగ్గడం లేదు.,మందులు వాడినా తగ్గడం లేదు.,Medicines are not reducing.
431,431,దానితో పాటు విపరీతంగా gas release అయితుంది.,దానితో పాటు విపరీతంగా గ్యాస్ విడుదల అవుతుంది.,"Along with it, gas is released tremendously."
432,432,ఆయన పూర్తిగా vegetarian.,ఆయన పూర్తిగా శాఖాహారం.,He is a complete vegetarian.
433,433,ఉదయం లేవగానే tea తాగుతాను.,ఉదయం లేవగానే టీ తాగుతాను.,I drink tea when I wake up in the morning.
434,434,దీని వల్లనే ఏమో నాకు gas problem ఎక్కువగా ఉంటుంది.,దీని వల్లనే ఏమో నాకు గ్యాస్ సమస్య ఎక్కువగా ఉంటుంది.,This is why I get gas problem a lot.
435,435,ఏమైనా తింటే ఈ pain ఇంకా ఎక్కువ ఉంటుంది.,ఏమైనా తింటే ఈ నొప్పి ఇంకా ఎక్కువ ఉంటుంది.,"If you eat anything, this pain will be worse."
436,436,నాకు anal దగ్గర skin మందంగా అనిపిస్తుంది.,నాకు అంగ దగ్గర చర్మం మందంగా అనిపిస్తుంది.,I feel thick skin near my anus.
437,437,dr కి చూపిస్తే extra skin వచ్చిందన్నారు.,dr కి చూపిస్తే అదనపు చర్మం వచ్చిందన్నారు.,"If you show it to the dr, you will get extra skin."
438,438,చాలా కాలంగా gas trouble సమస్యతో బాధపడుతున్నాను.,చాలా కాలంగా గ్యాస్ ట్రబుల్ సమస్యతో బాధపడుతున్నాను.,I have been suffering from gas problem for a long time.
439,439,గతంలో 3 4 times dr దగ్గర చూపించుకున్నాను.,గతంలో 3 4 సార్లు dr దగ్గర చూపించుకున్నాను.,I have seen dr 3 or 4 times in the past.
440,440,ఇప్పుడు 1 year నుంచి కడుపు నొప్పి.,ఇప్పుడు 1 సంవత్సరం నుంచి కడుపు నొప్పి.,Abdominal pain since 1 year now.
441,441,normalగా ఉండే వాళ్ళ కంటే diabetes ఉన్న వాళ్ళలో నోటి దుర్వాసన ఎక్కువ అని విన్నాను.,మామూలుగా ఉండే వాళ్ళ కంటే డయాబెటిస్ ఉన్న వాళ్ళలో నోటి దుర్వాసన ఎక్కువ అని విన్నాను.,I have heard that people with diabetes have more bad breath than normal people.
442,442,రోజు నాకు tea కానీ coffee కానీ తాగినప్పుడు వెంటనే motion కి వెళ్లాల్సి వస్తుంది.,రోజు నాకు టీ కానీ కాఫీ కానీ తాగినప్పుడు వెంటనే విరోచనా కి వెళ్లాల్సి వస్తుంది.,"When I drink tea or coffee during the day, I immediately have to go to Virochana."
443,443,gas form అవుతుంది.,వాయువు రూపం అవుతుంది.,It becomes a gas.
444,444,"hypertension, sugar, thyroid, high cholestrol ఉన్నాయి.","రక్తపోటు, చక్కెర, థైరాయిడ్, అధిక కొలెస్ట్రాల్ ఉన్నాయి.","Blood pressure, sugar, thyroid, high cholesterol."
445,445,stress వలన gastric సమస్యలు వస్తాయా?,ఒత్తిడి వలన గ్యాస్ట్రిక్ సమస్యలు వస్తాయా?,Can stress cause gastric problems?
446,446,నాకు 3 years నుంచి gas problem ఉంది.,నాకు 3 సంవత్సరాల నుంచి గ్యాస్ సమస్య ఉంది.,I have gas problem since 3 years.
447,447,దానికోసం tablets వాడుతున్నాను.,దానికోసం మాత్రలు వాడుతున్నాను.,I am using pills for that.
448,448,ఈ tablet వాడినప్పుడు gas బాగానే పెరుగుతుంది.,ఈ టాబ్లెట్ వాడినప్పుడు గ్యాస్ బాగా పెరుగుతుంది.,Gas increases greatly when using this tablet.
449,449,"నేను రోజులో 2,3 times motions కి వెళ్తాను.","నేను రోజులో 2,3 సార్లు విరోచనాలకి వెళ్తాను.",I go to Virochanala 2-3 times a day.
450,450,చెప్పమ్మా ఏం problem?,చెప్పమ్మా ఏం సమస్య?,"Tell me, what's the problem?"
451,451,15 days అయితుంది.,15 రోజులు అయితుంది.,It will be 15 days.
452,452,sugar ఉందా?,చక్కెర ఉందా?,Is there sugar?
453,453,పెళ్లి అయి ఎన్ని months?,పెళ్లి అయి ఎన్ని నెలలు?,How many months have you been married?
454,454,regular cycles ఏ ఉంటాయా?,రెగ్యులర్ సైకిల్స్ ఏ ఉంటాయా?,What are regular cycles?
455,455,1 month 15 daysకి లేదా 2 monthsకి ఒకసారి.,1 నెల 15 రోజులకి లేదా 2 నెలలకి ఒకసారి.,1 month 15 days or once in 2 months.
456,456,సాధారణంగా pregnancy time లో rest తీసుకోవాలని అంటారు.,సాధారణంగా గర్భధారణ సమయం లో విశ్రాంతి తీసుకోవాలని అంటారు.,It is generally said to take rest during pregnancy.
457,457,ఏ time లో ఎంత సేపు rest తీసుకోవాలి.,ఏ సమయంలో ఎంతసేపు విశ్రాంతి తీసుకోవాలి.,How long should you rest at any time?
458,458,ఎక్కువ సేపు rest తీసుకోవడం వలన delivery లో problem ఆ?,ఎక్కువ సేపు విశ్రాంతి తీసుకోవడం వలన డెలివరీలో సమస్య ఉందా?,Is taking too long a delivery a problem?
459,459,నాకు ఇప్పుడు 2 months అయింది pregnancy వచ్చి.,నాకు ఇప్పుడు 2 నెలల గర్భం వచ్చింది.,I am now 2 months pregnant.
460,460,spotting అయితుంది.,స్పాటింగ్ అయితుంది.,Spotting is done.
461,461,already 2 abortions అయ్యాయి.,ఇప్పటికే 2 అబార్షన్లు అయ్యాయి.,Already had 2 abortions.
462,462,ఇప్పుడు మళ్లీ pregnancy వచ్చింది,ఇప్పుడు మళ్లీ గర్భం వచ్చింది,Now pregnant again
463,463,pregnancy వచ్చి 5 weeks అయింది.,గర్భం వచ్చి 5 వారాలు అయింది.,5 weeks pregnant.
464,464,"నాకు 3వ month, bp ఎక్కువ తక్కువ అవుతుంది.","నాకు 3వ నెల, bp ఎక్కువ తక్కువ అవుతుంది.","3rd month for me, bp keeps getting low."
465,465,urine test చేసుకుంటే positive వచ్చింది.,మూత్ర పరీక్ష చేసుకుంటే పాజిటివ్ వచ్చింది.,A urine test was positive.
466,466,bed rest తీసుకోమన్నారు,పడక విశ్రాంతి తీసుకోమన్నారు,Bed rest
467,467,15 days తర్వాత scanning చేస్తే నువ్వు pregnant కాదు అన్నారు.,15 రోజుల తర్వాత స్కానింగ్ చేస్తే నువ్వు గర్భవతి కాదు అన్నారు.,They said if you scan after 15 days you are not pregnant.
468,468,pregnancy కోసం ఏం tablets వాడాలి,గర్భం కోసం ఏం మాత్రలు వాడాలి,What pills should be used for pregnancy?
469,469,ఎటువంటి test చేయించుకోవాలి.,ఎటువంటి పరీక్ష చేయించుకోవాలి.,No test should be done.
470,470,10 to 15 minutes ఉంది వెళ్లిపోతుంది.,10 నుండి 15 నిమిషాల వరకు వెళ్లిపోతుంది.,It will take 10 to 15 minutes.
471,471,multivitamins tablets వాడుతున్నాను.,మల్టీవిటమిన్లు మాత్రలు వాడుతున్నాను.,I am using multivitamin tablets.
472,472,migranes ఉన్నాయి.,మైగ్రేన్లు ఉన్నాయి.,There are migraines.
473,473,నా heart beat fast గా ఉంటుంది.,నా గుండె వేగంగా కొట్టుకుంటుంది.,My heart beats fast.
474,474,సాధారణ పరీక్షలలో hepatitis B ఉందని నిర్ధారణ అయింది.,సాధారణ పరీక్షలలో హెపటైటిస్ బి నిర్ధారణ అయింది.,Hepatitis B was diagnosed on routine tests.
475,475,దీనికి ఎలాంటి therapy ఉంటుంది?,దీనికి ఎలాంటి చికిత్స ఉంటుంది?,What is the treatment for this?
476,476,pregnancy timeలో bp sugar పెరుగుతుంది.,గర్భధారణ సమయంలో బీపీ షుగర్ పెరుగుతుంది.,BP sugar increases during pregnancy.
477,477,pregnancy time లో urinary tract infections వస్తున్నాయి.,గర్భధారణ సమయంలో మూత్ర మార్గము అంటువ్యాధులు వస్తున్నాయి.,Urinary tract infections during pregnancy.
478,478,మాకు పెళ్ళయి 10 years అయితుంది.,మాకు పెళ్ళయి 10 సంవత్సరాలు అయితుంది.,We have been married for 10 years.
479,479,ఎలాంటి precaution లేకుండా ఉన్నాము.,ఎలాంటి ముందు జాగ్రత్త లేకుండా ఉన్నాము.,We are without any precautions.
480,480,ఇప్పుడు తను pregnant.,ఇప్పుడు తను గర్భవతి.,Now she is pregnant.
481,481,immediateగా pregnancyని ఆపేయాలి అంటే వీలవుతుందా?,వెంటనే గర్భాన్ని ఆపేయాలి అంటే వీలవుతుందా?,Is it possible to terminate the pregnancy immediately?
482,482,నేను 8 months pregnant.,నేను 8 నెలల గర్భవతి.,I am 8 months pregnant.
483,483,dr ని కలిస్తే thyroid ఉంది అని అన్నారు.,dr ని కలిస్తే థైరాయిడ్ ఉంది అని అన్నారు.,"If you meet the dr, he said that he has thyroid."
484,484,medicines వాడుతున్నాను.,మందులు వాడుతున్నాను.,I am using medicine.
485,485,medicines వాడడం వల్ల baby కి ఏమైనా problem ఆ?,మందులు వాడడం వల్ల శిశువు కి ఏమైనా సమస్య ఆ?,Is there any problem for the baby due to the use of medicines?
486,486,నేను 2 months pregnant.,నేను 2 నెలల గర్భవతి.,I am 2 months pregnant.
487,487,pregnant ఉన్నప్పుడు ఎలాంటి జాగ్రత్తలు తీసుకోవాలి?,గర్భవతిగా ఉన్నప్పుడు ఎలాంటి జాగ్రత్తలు తీసుకోవాలి?,What precautions should be taken while pregnant?
488,488,నాకు caesarean అంటే ఇష్టం లేదు.,నాకు సిజేరియన్ అంటే ఇష్టం లేదు.,I don't want a cesarean.
489,489,normal delivery కోసం ఏం చేయాలి?,సాధారణ ప్రసవం కోసం ఏం చేయాలి?,What to do for normal delivery?
490,490,pregnancy time లో chicken pox వస్తే పుట్టే బిడ్డ పై ఎలాంటి ప్రభావం ఉంటుంది.,గర్భం సమయంలో చికెన్ పాక్స్ వస్తే పుట్టే బిడ్డ పై ఎలాంటి ప్రభావం ఉంటుంది.,What are the effects of chicken pox during pregnancy on the unborn child?
491,491,ఎందుకు ఈ problem వస్తుంది.,ఎందుకు ఈ సమస్య వస్తుంది.,Why this problem occurs.
492,492,దీనివల్ల ఏమైనా futureలో problems ఉంటాయా?,దీనివల్ల ఏమైనా భవిష్యత్తులో సమస్యలు ఉంటాయా?,Will this cause any future problems?
493,493,పెళ్ళయి 2 years అయితుంది.,పెళ్ళయి 2 సంవత్సరాలు అయితుంది.,Married for 2 years.
494,494,వెంటనే pregnancy వచ్చింది.,వెంటనే గర్భం వచ్చింది.,She got pregnant soon.
495,495,problems వల్ల abortion చేయించుకున్నాను.,సమస్యలు వల్ల అబార్షన్ చేయించుకున్నాను.,I had an abortion due to complications.
496,496,ఇప్పుడు pregnancy కోసం try చేస్తున్నాను.,ఇప్పుడు గర్భం కోసం ప్రయత్నించండి.,Try to conceive now.
497,497,tablets వాడుతున్నాను.,మాత్రలు వాడుతున్నాను.,I am using pills.
498,498,3 months అయింది.,3 నెలలు అయింది.,It's been 3 months.
499,499,chance ఉందంటారా?,అవకాశం ఉందంటారా?,Is there a chance?
500,500,నేను 2 months pregnant గా ఉన్నప్పుడు bleeding అయింది.,నేను 2 నెలల గర్భవతిగా ఉన్నప్పుడు రక్తస్రావం అయింది.,I bled when I was 2 months pregnant.
501,501,"ఆపటానికి tablets, injections, ఇచ్చారు.","ఆపటానికి మాత్రలు, ఇంజక్షన్లు, ఇచ్చారు.","Pills, injections, were given to stop."
502,502,scanning చేసి growth లేదని చెప్పారు.,స్కానింగ్ చేసి పెరుగుదల లేదని చెప్పారు.,Scanned and said no increase.
503,503,periods రావడానికి medicines ఇస్తానని doctor గారు చెప్పారు.,పీరియడ్స్ రావడానికి మందులు ఇస్తానని డాక్టర్ గారు చెప్పారు.,The doctor said that he will give me medicine to get periods.
504,504,heart beat చాలా fastగా కొట్టుకుంటుంది.,గుండె కొట్టుకోవడం చాలా వేగంగా కొట్టుకుంటుంది.,The heart beats very fast.
505,505,2d echo అలాగే ultrasound test చేయించుకున్నాము అంతా normalగానే ఉంది.,2d ప్రతిధ్వని అలాగే అల్ట్రాసౌండ్ పరీక్ష చేయించుకున్నాము అంతా మామూలుగానే ఉంది.,We did 2d echo as well as ultrasound examination and everything was normal.
506,506,ఏదైనా food తీసుకున్నప్పుడు heart beat ఎకువ ఐతుంది కడుపు కుడివైపు పైభాగంలో నొప్పి ఎక్కువగా ఉంది.,ఏదైనా ఆహారం తీసుకున్నప్పుడు గుండె కొట్టుకోవడం ఎకువ ఐతుంది కడుపు కుడివైపు పైభాగంలో నొప్పి ఎక్కువగా ఉంటుంది.,Palpitation increases when taking any food Pain in upper right side of stomach is worse.
507,507,ఆ నొప్పి backbone కి పాకుతుంది.,ఆ నొప్పి వెన్నెముక కి పాకుతుంది.,That pain creeps up the spine.
508,508,నాకు పాప పుట్టిన 4 month కి నాకు tb attack అయింది.,నాకు పాప పుట్టిన 4 నెలల కి నాకు tb దాడి అయింది.,4 months after my baby was born I got TB attack.
509,509,lungs కి hole పడింది.,ఊపిరితిత్తులు కి రంధ్రం పడింది.,There was a hole in the lung.
510,510,1st పాపకి ఇప్పుడు 13 months తేడా ఉంది.,1వ పాపకి ఇప్పుడు 13 నెలల తేడా ఉంది.,1st baby now 13 months apart.
511,511,ఇలా అవడం వల్ల ఏమైనా problems వస్తాయా?,ఇలా అవడం వల్ల ఏమైనా సమస్యలు వస్తాయా?,Does this cause any problems?
512,512,నాకు ఇప్పుడే thyroid ఉందని తెలిసింది.,నాకు ఇప్పుడే థైరాయిడ్ ఉందని తెలిసింది.,I just found out I have thyroid.
513,513,delivery తర్వాత thyroid తగ్గుతుందా?,డెలివరీ తర్వాత థైరాయిడ్ తగ్గుతుందా?,Does the thyroid go down after delivery?
514,514,thyroid ఉంటే pregnancyకి problem ఆ?,థైరాయిడ్ ఉంటే గర్భానికి సమస్య ఉందా?,Is pregnancy a problem if you have thyroid?
515,515,thyroid test చేయించుకుంటే state 6 అని వచ్చింది.,థైరాయిడ్ టెస్ట్ చేయించుకుంటే స్టేట్ 6 వచ్చింది.,Thyroid test showed state 6.
516,516,thyroid problem ఉంది.,థైరాయిడ్ సమస్య ఉంది.,There is a thyroid problem.
517,517,కానీ reports అన్ని positive గానే వచ్చాయి.,కానీ అన్ని పాజిటివ్ గానే రిపోర్ట్స్ వచ్చాయి.,But all the reports were positive.
518,518,general checkup లో thyroid problem ఉందని చెప్పారు.,జనరల్ చెకప్ లో థైరాయిడ్ సమస్య ఉందని చెప్పారు.,"In the general checkup, he was told that there is a thyroid problem."
519,519,ultrasound scan చేస్తే kidney లో stones ఉన్నాయి అని చెప్పారు.,అల్ట్రాసౌండ్ స్కాన్ చేస్తే కిడ్నీలో రాళ్లు ఉన్నాయని చెప్పారు.,An ultrasound scan revealed kidney stones.
520,520,అప్పుడప్పుడూ pain కూడా ఉంటుంది.,అప్పుడప్పుడూ నొప్పి కూడా ఉంటుంది.,Sometimes there is pain.
521,521,pregnany లో kidney లో stones ఏమైనా ప్రమాదకరమా?,గర్భంలో కిడ్నీలో రాళ్లు ఏమైనా ప్రమాదకరమా?,Are kidney stones dangerous in pregnancy?
522,522,నాకు test చేసినప్పుడు 2 tubes block అయి ఉంది అని చెప్పారు.,నాకు టెస్ట్ చేసినప్పుడు 2 ట్యూబ్స్ బ్లాక్ అయిందని చెప్పారు.,"When I was tested, I was told that 2 tubes were blocked."
523,523,surgery చెసుకోవాలని doctor చెప్పారు.,సర్జరీ చేయించుకోవాలని డాక్టర్ చెప్పారు.,The doctor said to undergo surgery.
524,524,baby healthy గా బాగానే ఉంది.,శిశువు ఆరోగ్యం గా బాగానే ఉంది.,The baby is in good health.
525,525,ఇప్పుడు విపరీతంగా cold and cough ఉంది.,ఇప్పుడు జలుబు మరియు దగ్గు విపరీతంగా ఉంది.,Now the cold and cough are extreme.
526,526,cold and cough ఎలా control చేసుకోవాలి.,జలుబు మరియు దగ్గు ఎలా నియంత్రించాలి.,How to control cold and cough.
527,527,ఇలా కడుపు నొప్పి వలన baby కి ఏమైనా problems వస్తాయా?,ఇలా కడుపు నొప్పి వలన శిశువు కి ఏమైనా సమస్యలు వస్తాయా?,Does the baby have any problems due to stomach ache?
528,528,ఏ stones ఉంటే baby కి ఏమైనా ఇబ్బంది ఉంటుందా?,ఏ రాళ్లు ఉంటే బేబీకి ఏమైనా ఇబ్బంది ఉంటుందా?,Will there be any problems for the baby if there are any stones?
