,L1,L2,CM_candidates
280,దొంగ సినిమా రివ్యూ చెప్పండి అన్న,say Donga movie review bro,Donga movie review చెప్పండి bro
837,నీకు అన్నా పెద్ద అభిమాని,Big fan of you bro,Big fan of uu అన్న
1518,దయచేసి తెలుగు నేర్చుకోండి సోదరా,Learn little telugu bro please,Konchm తెలుగు నేర్చుకోండి bro please
4493,@rj_4_all public gaa తిరుపతిలో దొంగ ఓట్లు వేసి పట్టుబడ్డాడు ఇంకా సిగ్గులేకుండా ఉన్నాడు. ,@rj_4_all publicly caught by stealing votes in Tirupati and still shameless.,@rj_4_all తిరుపతి లో దొంగ votes వేయించుకొని public gaa దొరికిపోయి ఇంకా సిగ్గు సిగ్గులేకుండా ఉన్నాడు.
2390,"అన్నా, దిల్ బేచారా సినిమా రివ్యూ? ?","Bro, Dil Bechara movie review? ?","అన్నా , దిల్ బెచార movie review ? ? "
1258,"@venks123 2009 , 2016 రెండు సార్లు RCB గెలవాలని అనుకున్నా ఇప్పుడు మాంచి పని మాత్రమే అనిపిస్తుంది","@venks123 2009 , 2016 both times I wanted RCB to win but now it feels like it's good thing which happened","@venks123 2009 , 2016 రెండుసార్లూ RCB ఇ గెల్వాణి కోరుకున్నా అప్పట్లో ఇప్పుడు మాత్రమ్ మాంచి పాణి అయింది feels "
1219,1 & 2 & 3 ఎపిసోడ్‌లు బాగున్నాయి. 4 ప్రభావం లేదు.,1 & 2 & 3 episodes are good. 4 has no impact.,1 & 2 & 3 episodes బాగున్నయ్ 4 అంత లా impact ఎవ్వా లేడు ఎపుడే చూసా
2325,@LaluDhfm @AlluSirish @ItsAnuEmmanuel @GA2Official అందుకే  ప్రతి సినిమాకు పబ్లిసిటీ చేస్తాడు,@LaluDhfm @AlluSirish @ItsAnuEmmanuel @GA2Official That's why he does publicity for every cinema,@LaluDhfm @AlluSirish @ItsAnuEmmanuel @GA2Official అందుకేనా  ప్రతి cinema ని publicity చేసుకుంటాడు
3132,"@A_Suman_ మంచి పని చేసాడు, 1వ సగం తో వదిలేసి మరియు 2వ సగం చాలా చెత్తగా ఉంది",@A_Suman_ did a good job dropping after 1st half and 2nd half too worst,"@a_Suman_ మాంచి పాణి chesaru,1st half తో drop chesi,2nd half ayithe too worst "
3477,"సినిమా సూపర్ , ముఖ్యంగా ఇంటర్వెల్ దృశ్యం కేక 😀 😂","Movie super , especially interval scene so good 😀 😂","Movie super , especially interval seen కేక 😀 😂 "
1823,యదార్థ సంఘటనల ఆధారంగా సినిమా అంటారు కానీ చూశాక మీకేం అర్థమవుతుంది?,They said cinema based on true events but what did you understand after watching?,Cinema based on true events అన్నారు but చూసాక ఏంటో అర్తం కాలే చాపండి ?
2252,మీకు ది సినిమా నచ్చినందుకు సంతోషం. కానీ నేను చేయలేదు. క్షమించండి,Glad you liked the movie . But I didn ’ t . sorry,Glad you liked ది movie . But I didn ’ t . sorry
4063,@veydprabhas @jag_346 మీరు కూడా అన్ ట్యాగ్ గా లేకుండా ప్రత్యుత్తరాలు ఇచ్చారు 🙄,@veydprabhas @jag_346 you also gave replies without untagginf 🙄,@veydprabhas @jag_346 నువ్వు కుడా untag చెయ్యకుండా Replies ఇచ్చావ్ ga 🙄
4711,"ఒక బిజిఎమ్ పర్వాలేదు 🙏 అలాగే దింపేశాడు, బిజిఎమ్ ఎలివేషన్ ఉన్నా బాగుండేది 😖"," bgm is okay 🙏 as it is, even if bgm elevation is thre it would be good 😖",A bgm కె సరే 🙏 as it is దింపేశాడు even bgm elevation ఉన్నా బాగుందె 😖
436,మీ వాయిస్ మిస్ అయ్యాను సాయి అన్నా,Missed your voice sai bro,Missed your voice sai అన్న
821,నాకు కూడా అలాగే అనిపించింది అన్నా,Me also felt the same bro,Me also felt same అన్న
973,అన్నా గోతం సినిమా రివ్యూ ప్లీజ్,Bro Gotham movie review please,అన్నా గాథమ్ movie review please
1021,సంక్రాంతి విజేత మాస్టర్ సినిమా,Sankranti winner is master movie,సంక్రాంతి winner is master movie
1150,రాబర్ట్ తెలుగు సినిమా సమీక్ష దయచేసి,Robert Telugu movie review please,Robert తెలుగు movie review please
1372,దయచేసి ఆదివారం సినిమా కబుర్లు చేయండి,Please do Sunday cinema chatter,Plss do Sunday cinima కబుర్లు
1842,అది తెలుగులో ఉందా,is it there in telugu,is it there in తెలుగు
1883,సంక్రాంతి విజేతపై వీడియో చేయండి,Make video on Sankranti winner,Make video on సంక్రాంతి winner
2200,ఒరేయ్ బుజ్జిగా రివ్యూ చప్పరా అన్నా,Say Orey Buzzigaga review  Bro,ఒరేయ్ బుజ్జిగా review చప్పర అన్న
2306,విశాల్ చక్ర సమీక్ష plz అన్నా,Vishal Chakra review please bro,Vishal చక్రం review plz అన్న
2676,ఓవరాల్‌గా నాని నటన అద్భుతంగా ఉంది,Overall Nani's acting is excellent,Overall నాని acting is excellent
3112,బయ్యా మొదటిసారి తప్పు సమీక్ష,Bro first time wrong review,బయ్యా first time wrong review
4261,సినిమా గణితం సూపర్ భయ్యా కేక,Movie Ganitham Super bro super,Movie గణితము super భయ్యా కేక
4584,@Manoj Kumar అన్న తెలుగులో టైప్ చేయను ఏమి కాదు కానీ ఇంగ్లీషులో అర్థం మారుతుంది,"@Manoj Kumar Bro type in Telugu, nothing will happend  but the meaning changes in English",@Manoj Kumar bro తెలుగు లో type చెయ్ em కాదు but English లో meaning మారిపోతుంది
4253,"@BJP4Telangana @bandisanjay_bjp ఇలాంటి సమయంలో ఇలాంటివి చేయడం సిగ్గుచేటు, ఇంత బాధ్యతారాహిత్యంగా ఎలా వ్యవహరిస్తారు?","@BJP4Telangana @bandisanjay_bjp have no shame in doing something like this at a time like this, how can you be so irresponsible?",@BJP4Telangana @bandisanjay_bjp ఇలాంటి time లో ఇలాంటివి చెయ్యడానికి సిగ్గు లేడ ఇబ్టా బద్యత లేకండా ఎలా ఉంటున్నారు
4812,@Harshatweetz @_mirchiiii__ @siddhuluuu ధన్యవాదాలు అర్సా నాకు మంచి పని ఇచ్చినందుకు 😂 😂 😂,@Harshatweetz @_mirchiiii__ @siddhuluuu Thanks Arsa for giving me good work 😂 😂 😂,@Harshatweetz @_mirchiiii__ @siddhuluuu Thanks అర్సా మాంచి పాణి ఇచ్చావ్ నాకు 😂 😂 😂
2021,అన్న లివ్ చేయండి  203k సబ్‌స్క్రైబర్‌లు వచ్చారుకదా.,Bro do live for getting 203k subscribers. ,Bro live cheyandi 203k subscribers వచ్చేరుకడ 
2164,@RAVAN EDITZ నీకు పాయింట్ అర్ధమైంది గా చేసుకో,"@RAVAN EDITZ you got the point right?, do it",@RAVAN EDITZ నీకు అర్దం అయింది ga చస్కో
2901,@Baadshah9999 @ThalaDhoni_07 @PawanKalyan 😂 😂 😂 ఆ థియేటర్‌లో సినిమా చూడలేం,@Baadshah9999 @ThalaDhoni_07 @PawanKalyan 😂 😂 😂 Can't watch movie in theater,@Baadshah9999 @ThalaDhoni_07 @PawanKalyan 😂 😂 😂 ఆ Theater లో movie చూడలేం
2689,చాల బాగుంది... BGM కొంచెం డిఫరెంట్ గా ఉంది 🔥 కుమ్మేసావ్ @alluarjun 👌 🔥 #IntroducingPushpaRaj,very good... BGM is litlle Different and superb 🔥 super @alluarjun 👌 🔥 #IntroducingPushpaRaj,Chala బాగుండి ... BGM Konchem Different గా Superb గా ఉండీ 🔥 కుమ్మేసావ్ @alluarjun 👌 🔥 #IntroducingPushpaRaj
1841,చారి అన్న అభిమానులు ఇక్కడ ఇష్టపడుతున్నారు ❤ చారి అన్నా లవ్ ఫ్రమ్ శ్రీకాకుళం ❤,Chari bro fans like here ❤ Chari bro love from srikakulam ❤,చారి అన్న fans like here ❤ చారి అన్న love from srikakulam ❤
4690,"యెండి అన్న , ఒకే రోజులో 3 వీడియోలు మీ పనిని నిజంగా అభినందిస్తున్నాను","What bro, 3 video's in one day, Really appreciate your work","యెండీ bro, 3 video 's in one day aa Really appreciate your work "
2318,#WildDog సినిమా చాలా బాగుంది @iamnagarjuna యాక్షన్ మిగిలిన నటుడి చాల బాగా డైరెక్షన్ సూపర్బ్,#WildDog Cinema Very good @iamnagarjuna action Remaining actor 's vey well done Direction superb,#WildDog Cinema చాల బాగుండి @iamnagarjuna action Remaining actor 's Chala బాగా చేసారు Direction superb
674,అన్న ఛానల్ లో వీడియో చూసి సబ్స్క్రయిబ్ చేసుకోండి,Bro watch the video on the channel and subscribe,Bro naa channel లో video చూసి నాచితే subscribe చేస్కోండి
734,@musugu_ అతని పని చాలా బాగుంది,@musugu_ his work is very good,@Musugu_ atani work కుడా చాల బాగుండి
1874,సరిగ్గా అదే భావన అన్న జర్మనీ నుండి ప్రేమను పోస్ట్ చేస్తూ ఉండండి,exactly same feeling bro keep posting love from germany,exactly same feeling భాయ్ keep posting love from germany
144,నాని నటన చాలా బాగుంది,Super super Nani acting is very nice,Super super నాని acting is very nice
4886,సినిమాలో రెజీనా లేధా అన్న. 🙄,Regina not in the movie bro. 🙄,Movie లో రెజీనా లేధా bro . 🙄
286,@rgvarma1100 @DrDikshitulu జఫ్ఫాతో కెమిస్ట్రీ చాలా బాగుంది. అందుకే ముసలి నక్క ఫిజిక్స్ గురించి పట్టించుకోలేదు,@rgvarma1100 @DrDikshitulu Chemistry is very good with Jaffa. That's why the old fox didn't care about physics,@rgvarma1100 @DrDikshitulu Chemistry మాత్రమ్ చాల బాగుండి జాఫా తో . అందుకే physics ని పట్టించుకోలేదు ముసలి నక్క
1890,కాదు అన్న రివ్యూ మీరు చెప్పింది తప్పు,No bro review you said wrong,No భయ్యా review తప్పుగా చెప్పావు
4332,గజ కేసరి సినిమా రివ్యూ ప్లీజ్,Gaja Kesari movie review please,Gaja కేసరి movie review plz
2244,మ చారి అన్న బ్యాక్ టు బ్యాక్ వీడియోలు మా అన్న తోపు,Our Chari bro back to back videos our bro super,మా చారి అన్న back to back videos ma అన్న తోపు
2683,"బాబాయి ప్రకటన అనంతం, పవర్‌ప్లే ఎక్కడ అయ్యా 🙄",Where is Babai Ad infinitum powerplay review  🙄,"Babai Ad infinitum , powerplay review ఎక్కడ అయ్యా 🙄 "
3394,@chandler999999 నేను నిన్న రాత్రి చూసినందుకు చాలా ఆనందంగా ఉంది.,@chandler999999 I'm so glad I saw it last night.,@chandler999999 నేను night చూసా చాల బాగండి .
4670,ఒడిశా ❣ ️ 💖 నుండి అన్నా నీ వాయిస్ కి అభిమాని,bro fan of your voice from odisha ❣ ️ 💖,అన్నా ని voice ki fan from odisha ❣ ️ 💖
4041,"@Gandra_Goddali @abantelugutav కరెక్ట్, రాబిన్ వీక్షకులు మరియు అభిమానులను తప్పుదారి పట్టించారు. దానిని తీవ్రంగా ఖండిస్తున్నాను","@Gandra_Goddali @abantelugutav correct, misgiding abn viewers and fans. Strongly condemns it","@Gandra_Goddali @abntelugutv Correct , misguide చెస్తోంది abn viewers and fans ని . తీవ్రంగా ఖండిస్తున్నా ధీన్ని "
2583,"నా వేలు కి నేనే ఉంగరం కొని పెట్టుకున్నాను, పెల్లి అయిపోయింది అని హిమాలయాలకు వెళ్లి సంతోషంగా జీవించాను.","I bought a ring and put it on my finger, I said marriage was over, I went to the Himalayas and lived happily.","na finger ki nene ring కొనుక్కొని వేసేస్కోని , పెల్లి అయిపోయింది అని చెప్పేసి , Himalayas పోయి హాయ్గా బతుకుత "
2004,"తెలుగు ఇంగ్లీష్, మిక్సింగ్ చేసి, టింగ్లీష్ బాగా మాట్లాడుతారు 😂 😂","Mixing telugu english, you are talking good tinglish 😂 😂","Telugu English , mixing చేసి , tinglish భగ matladutharu 😂 😂 "
1166, అన్న @విజయ్ రాజేతరమ్ మంచి మంచి సినిమా చూసా అన్న,watched @Vijay Rajetharambro nice decent movie bro,@Vijay Rajtarun చూసా bro nice decent movie bro
1326,@centurygowdaa  రాహుల్ నా  జట్టులో లేడు,@centurygowdaa Rahul is not in my team,@centurygowdaa Rahul లేడు na team లో
3944,@Nitish Hs అన్న నేను స్వచ్ఛ ఆంధ్రుడిని 😅,@Nitish Hs bro I am pure Andhra 😅,@Nitish Hs bro నేను పక్కా Andhra వాడిని 😅
4451,"అన్న. , తెలుగు ఆడియో ప్రైమ్‌లో ఉందా?","Bro. , Is Telugu Audio there in prime?","Broo . , prime loo తెలుగు audio వుండ ? "
4705,@Wizu_ragazzac చాలా కాలంగా అయ్యో.. నిన్న నే గా నువ్వు  ట్వీట్లకు రిప్లైలు ఇచ్చావ్,@Wizu_ragazzac Long time no see Ah .. you gave replies to tweets yesterday only,@Wizu_ragazzac Long tym no see ఆహ్ .. నిన్నా ne gaa replies ఇచ్చావ్ tweet ki
1717,``తెలుగు కానివారు షార్ట్ ఫిలిమ్స్''పై వీడియో చేశాం.,We did make video on ``Non-Telugu Short Films'',We did make video on `` తెలుగు కానివారు Short Films ``
660,నేను చెపాన మొదటి సగం లవ్ కామెడీ రెండోవా సగం. యాక్షన్ అని నేను అమెజాన్ ప్రైమ్‌లో చూస్తాను నేను జుమాంజికి వెళ్తున్నాను . తదుపరి స్థాయి,I told right First half . Love comedy Second half . Action I will watch it on Amazon prime I 'm going to Jumanji . The next level,నేను చెపాన First half . Love comedy Second half . Action అని I will watch it on Amazon prime I 'm going to Jumanji . The next level
4599,@surekha_view కొంపలు కొల్లేరు చేసాడు. ద్వికళత్ర యోగి హాయిగా విశ్రాంతి తీసుకుంటున్నాడు.,@surekha_view killed the horns. Dwikalatra Yogi is resting comfortably.,"@surekha_view కొంపలు కొల్లేరు చేసాడు . హాయిగా rest తీస్తున్నాడు , ద్వికళత్ర యోగి . "
4341,మొదటి వ్యాఖ్య (మీ సమీక్ష కోసం వేచి ఉంది) హాయ్ చారి అన్నా,First comment (waiting for your review) hi Chari bro,First comment ( waiting for your review ) hi చారి అన్న
2348,@mohith000000 మాంచి పని జరిగింది సోలో లైఫ్ మీరు చాలా బెటర్,@mohith000000 good thing has happened Solo life you are so better,@mohith000000 మాంచి పాణి అయ్యింది Solo life మీరు so better
2667,@Kirrak Creation అన్ని వ్యాఖ్యలను చదవడానికి బదులుగా మీరు వీడియోను చూడవచ్చుగా,@Kirrak Creation instead of reading all comments you can watch the video,@Kirrak Creation అన్నీ comments chadive బాధలు ఆహ్ video చూడెయచ్చుగా
149,నేను చూసిన అత్యుత్తమ సమీక్ష ఛానెల్‌ని కేక సమీక్షించండి,Nice review the best review channel ever I seen,కేక review the best review channel ever I seen
635,మా @UV_Creationsకి ఎన్ని రీట్వీట్‌లు వచ్చాయి 😜 మీకు ఎక్కువ రీట్వీట్‌లు రాకపోతే మీ అందరికీ యువి #రాధేశ్యామ్ ఇష్టం,How many retweets for our @UV_Creations 😜 If you don't get more retweets it means you all like uv #RadheShyam,How many retweets for our @UV_Creations 😜 Retweets ఎక్కువ రాకపోతే మీ అందర్కి uv ముందు ఇష్టం అని అర్దం #RadheShyam
2454,@haribabugorle @chirucharanfan కాంబో రుచికరంగా ఉన్నందుకు చాలా సంతోషించాను,@haribabugorle @chirucharanfan I'm so glad that combo is delicious,@haribabugorle @chirucharanfan ఆ combo హయ్యిగా ఉంటుంది అన్న తృప్తి ga vuntadi
1433,@sanju వీరగోని పిల్లవాడు `` చిన్నపిల్లలా ప్రవర్తించవద్దు `` 🤣 🤣 అని వ్యాఖ్యానించారు,@sanju Viragoni  child commented that `` do n't behave like childish `` 🤣 🤣,@sanju వీరగోని child commented that `` do n't behave like childish `` 🤣 🤣
4345,మాస్టర్ మూవీ నాకు నాచింది కారణాలు లేవు ఓవర్ ఎలివేషన్స్ సాంగ్స్ బిజిఎమ్ యాక్టర్స్ బిగ్గెస్ట్ మైనస్ పాయింట్ టీజర్ ఎడిటింగ్ ఎడిటింగ్ మరింత ఎక్స్‌పెక్,I liked Master movie. reasons are No over elevations songs bgm actors rocked biggest minus points are teaser and editing more expected,Master movie నాకు నాచింది reasons No over elevations songs bgm actors rocked biggest minus point teaser editing more expec
2753,@dwarakacreation @ItsMePragya @Music మాస్ మహారాజ్ చేత తన్నించుకోడానికి సిద్ధంగా ఉండండి 🤙 😎 కిక్ చేయడానికి సిద్ధంగా ఉంది,"@dwarakacreation @ItsMePragya @MusicThaman get Ready to be kicked by Mass maharaj
🤙 😎",@dwarakacreation @ItsMePragya @MusicThaman Mass maharaj చేతా తన్నించుకోడానికి Ready gaa ఉండ్రా  🤙 😎
3445,నువ్ వచక మన రాష్ట్రానికి  జరిగిన ఒక్క మంచి పని  మాంచి పాణి చెప్పు అన్న @ysjagan 🧐 🧐 #ResignJagan,"Bro After you came, tell me one good thing that has happened to our state @ysjagan 🧐 🧐 #ResignJagan",నువ్ వచక మన State ki జరిగిన okka మాంచి పాణి చెప్పు bro @ysjagan 🧐 🧐 #ResignJagan
4458,హీరోయిన్ బాగుండు భయ్యా. సాగం సినిమా హీరోయిన్ నే నిలబెట్టింది. ఆమె గొప్ప పని చేసిందని నేను చెప్పాలి,Heroine is good bro. Half movie heroine has carried. I must say she did a great job,Heroine bagund భయ్యా . sagam movie heroine ne నిలబెట్టింది . she done a great job అని చెప్పాలి
134,@apdigitalcorp @LathaReddy704 @ysjagan @AndhraPradeshCM బాగుంది సార్ చాలా బాగుంది మీ ఆలోచన,@apdigitalcorp @LathaReddy704 @ysjagan @AndhraPradeshCM Good sir you idea is very good,@apdigitalcorp @LathaReddy704 @ysjagan @AndhraPradeshCM మంచిది Sir chala బాగుండి మీ ఆలోచన
1534,"ఓకా ఎయిర్‌పోర్ట్ సీన్ సింగిల్‌షాట్. , అది మీకు సూర్య సర్ . ,","One airport scene singleshot. , that is SURIYA sir for u . ,","ఓకా airport దృశ్యం singleshot . , that is SURIYA sir for u . , "
2284,@PKadmirer02 @_FanOfSSMB ఏరా నువ్వు సిగ్గు లేకుండా ఎలా మాట్లాడుతున్నావు,@PKadmirer02 @_FanOfSSMB how are you still talking shamelessly,@PKadmirer02 @_FanOfSSMB Era ఇంకా సిగ్గులేకుండా ఎలా మాట్లాడుతున్నావ్ రా nuv 
3864,"@Never_stpdream అవును, చాలా పాట.. నేను ఎచిడ్నా సాంగ్","@Never_stpdream Yes, the song is very nice. This is song I cried for","@Never_stpdream Yes , చాల భాగంది song .. నేను ఎకిడ్నా Song అధే "
2538,అన్న వకీల్సాబ్ ట్రైలర్ గురించి చెప్పండి అన్న,Bro tell me about vakeelsab trailer bro,Bro vakeelsab trailer గురించీ చెప్పండి bro
4408,అన్న దయచేసి ఒరేయ్ బుజ్జిగా రివ్యూ చెప్పండి,Bro please tell Orey Buzzigaga review,Bro please tell ఒరేయ్ బుజ్జిగా review
3578,అనంతపురం నుండి గాంధీ జయంతి శుభాకాంక్షలు బయ్యా మరియు ప్రేమ,Happy Gandhi Jayanti bro And love from Anantapur,Happy గాంధీ జయంతి bayya And love from అనంతపురం
281,ట్రైలర్ అర్జున్ రెడ్డి స్ఫూర్తితో ఉన్నట్లు తెలుస్తోంది. 🥱,The trailer seems to be inspired by Arjun Reddy. 🥱,Trailer aa Arjun Reddy inspired లాగ అని పించింది . 🥱
1270,హాయ్ అన్నా ఇంగ్లీష్ సినిమాలు తెలుగు డబ్బింగ్ సినిమాలు చెయ్యు అన్నా,"Hi bro, do English Movies Telugu Dubbed Movies Cheyyu bro",Hi అన్న english movies తెలుగు dubbing చేసిన movies cheyyu అన్న
2620,వీలైతే పిట్టా కథనాలను కూడా సమీక్షించండి (నెట్‌ఫ్లిక్స్),If possible review Pitta stories too (Netflix),If possible review పిట్టా కథలు too ( Netflix )
3527,ఉదయం 7.45 గంటలకు మార్నింగ్ షో చూడండి అన్న. నాకు ఐతే సినిమా అంటే చాలా ఇష్టం బ్రదర్,Watch the morning show bro 7.45 am. I love the movie bro,Morning show చూసా bro 7.45 am . నాకు itey movie నాచింది bro
3565,అన్న మీరు  చాలా విజయవంతమైన దర్శకులపై వీడియో చేయండి  ఎప్పుడోనుంచో అడుగుతున్నా,"Bro do a video on most successful directors,  you asking since a long tim",Bro do a vedio on most successful directors ఎప్పుడోనుంచో అడుగుతున్నా
3749,మీరు సరిగ్గా చెప్పారు అన్న 1వ సరే 2వ 👎 చెత్తగా ఉంది 😭,You said correctly bro 1st Ok 2nd 👎 Is Worst 😭,Correct చెప్పావు అన్న 1St Ok 2nd 👎 Is Worst 😭
460,అంటే తలపతి విజయ్ సర్ థివ్యూ రిప్లై PLZ గురించి ఒక వీడియో,Bro one video about THALAPATHY VIJAY SIR THYVIEW REPLY PLZ,అన్నా one video about THALAPATHY VIJAY SIR THYVIEW REPLY PLZ
3359,@ST__79 మీరు ఎంత వసూలు చేసారు అన? లేక వల్లే రెమ్యూనరేషన్ ఇస్తారు గా ఎందుకు ఇచ్చారు అన?,@ST__79 how much did they charge? Or remuneration will be given them why did you give it?,@ST__79 ఎంతా charge చేసారు అన ? Or valle remuneration ఇస్తారు gaa నువ్వెందుకు ఇచ్చావ్ అన ?
856,టాస్క్ చేతగా ఉన్నప్పటికీ... అందరూ బాగా ఆడారు... చెత్త ఆటగాళ్లు లేరు #BiggbossTelugu4,Despite the task ... everyone played well ... No worst performers #BiggbossTelugu4,Task చేతగా ఉన్నా ... everyone played well ... No worst performers #BiggbossTelugu4
269,భయ్యా పార్ట్ 1 ఓవర్ రేటెడ్ సినిమాలను ప్రయత్నించండి,Bro try overrated movies part 1,భయ్యా try overrated movies part 1
2563,ఇల్లా పెద్దితే ఇష్టం వస్తది అనుకునేవ్ కదా,You though you will get like by putting like this right?,ఇల్లా peddithe like వస్తది అనుకునేవ్ కదా
648,"@av_ragestudent @_mardhafan wao ఆహ్, మీరు పాఠశాలకు వెళ్లే పిల్లవాడిలా సరైన సమయంలో సమాధానం ఇచ్చారు","@av_ragestudent @_mardhafan wao Aah, you gave reply at correct time like a school going kid",@ave_RAGEstudent @_MrDhfm అబ్బా cerct ga school వాడిలే tym ki reply ఇచ్చావ్
612,"మీ వీక్షణ కుటుంబ వీడియోలను నాకు మద్దతు ఇవ్వండి, షార్ట్ వీడియోస్ ఈ ఛానల్ లో అప్లోడ్ చేస్తా 🙏",support me thyview family will upload short stories on this channel 🙏,support me thyview family video 's upload చేష్ట ఇ channel లో short stories 🙏
1512,"అన్న దయచేసి టైటాన్‌పై దాడిని సమీక్షించండి. , ఇది ఒక అనిమే","Bro review attack on titan please. , it's an anime","Bro attack on titan ki review ఇయ్యండి pls . , it 's an anime "
1804,@alwayslilly_ చాలా వేగంగా ప్రత్యుత్తరం ఇచ్చావ్ ధన్యవాదాలు,@alwayslilly_ you gave reply very fast reply thanks,@alwayslilly_ చాల fast ga reply ఇచ్చావ్ thanks
1825,క్లైమాక్స్ చంపేసింది. ఇదెక్కడి మాస్ అయ్యా 🔥 🔥,The climax killed it. What is the mass 🔥 🔥,The climax killed it . ఇదెక్కడి mass అయ్యా 🔥 🔥
683,అన్న నేను మెయిల్ చేసాను బ్రదర్ దయచేసి ఒకసారి చెక్ చేయండి. .,Bro I have mailed bro please check it once. .,Bro mail చేసాను bro please check it Once . .
1398,"శ్రీ విష్ణు ప్రాంతం ఇది , కానీ ఆనంద్ కూడా సెట్ అయ్యాడు","This is Sri vishnu territory  , but anand also set","Sri vishnu territory idi , but anand కూడ set అయ్యాడు "
4802,నీ యబ్బా ఉమేష్ గా 🤦 ఒత్తిడిని సృష్టిస్తే 8 ఇచ్చావ్,Useless feloow Umesh 🤦 after creating pressure create you came and gave 8,నీ యబ్బా Umesh ga 🤦 pressure create cheste వచి 8 ఇచ్చావ్
2180,మనిషి అంటేనే మంచోడు ...హ్యాపీ గా ఉండండి... #Radheshyam #Prabhas ,A man is a good man...be happy...#Radheshyam #Prabhas ,Manishi antene మంచోడు ... Happy ga ఉండండీ ... #RadheShyam #Prabhas 
2133,"@showmanonhigh @PawanKalyan Bro అన్న ఎందుకు అన్న ఇలా ప్రతికూలమైనది గా ప్రచారం చేస్తున్నావు, సినిమా చాలా చాలా బాగుంది అన్న 👍 👍","@showmanonhigh @PawanKalyan Bro why are you spreading this negativity, movie is very very nice  Bro 👍 👍",@showmanonhigh @PawanKalyan Bro ఎందుకూ Bro ఇలా ప్రతికూలమైనది గా Spread చేస్తానన్రు Movie చాల చాల బాగుండి Bro 👍 👍
2789,#సూర్య ఎపిసోడ్ 2 చాల భగుంధి తండ్రి సన్నివేశాలు ❤️ . లవ్ ట్రాక్ సహజంగానే ఉంది.,#surya episode 2 Very ncie father scenes ❤ ️ . Love track is crazy natural.,#surya episode 2 చాల భగుంధి father scenes ❤ ️ . Love track crazy natural ఉండి .
3158,@హిట్‌మాన్ కృష్ణ 11 నిమిషాలు ఆలస్యంగా ప్రత్యుత్తరం ఇచ్చావ్ నువ్వు వేగంగా ఇస్తునవ్ అంట 😒 😏,"@HitmanKrishna you gave 11 min late reply, you are giving fast replies 😒 😏",@HitmanKrishna 11 min తర్వత ఇచ్చావ్ reply nuv fast ga ఇస్తునవ్ అంట 😒 😏
4270,"@gayatri008_16 చిల్లర్ కామెడీ అన్నాదు గా, 70% షోని అవినాష్ నడుపుతున్నారు...","@gayatri008_16 We shoudn't say bad comedy, 70% of the show is run by avinash...","@gayatri008_16 Chillar comedy annadhu ga , 70 % show avinash వల్లే run అవ్వుతుంది ... "
1054,అల్లరి నరేష్ అన్న కమ్ బ్యాక్ అంట గా 🔥 🔥 💥 💥,Seems like Allari Naresh Bro Comeback Back 🔥 🔥 💥 💥,Allari Naresh అన్నా Comeback Back అంటా గా 🔥 🔥 💥 💥
3558,@Tank Rock అదే లాజిక్ అన్న  నా ప్రత్యుత్తరాలు నా ఇష్టం.,@Tank Rock Same logic bro my replies my wish,@Tank ROCK same logic భయ్యా na replies na ఇస్తం
4923,ఇది తెలుగు లేదా ఇంగ్లీషు సినిమా సమీక్ష ఛానెల్‌నా?,Is this a Telugu or English movie review channel?,Is this a తెలుగు or english movie review channel ?
3116,"హలో బాబాయి, @SVC_official ప్రీ రిలీజ్ ఈవెంట్ ప్రకటన రేపు చెయ్యాల్సింది, చాలా తొందరగా నవీకరణ ఇచ్చావ్ 🙏 🙏","Hello Uncle, @SVC_official Pre release event announcement could have be done tomorrow, you gave very fast update 🙏 🙏","హలో బాబాయి , @SVC_official Pre release event Announcement tomorrow చెయ్యాల్సింది , chaalaa fast gaa update ఇచ్చావ్ 🙏 🙏 "
3681,మీరు నన్ను ట్యాగ్ చేయకుండానే రిప్లై ఇచ్చావ్ గా... 😂 😂 😂 నకిలీ నాలా...,You replied without tagging me... 😂 😂 😂 Fake Fellow...,Tag చేయకుండనే rply ఇచ్చావ్ ga ... 😂 😂 😂 Fake నయల ...
592,"కూల్ అన్న, మీరు వెళ్లిపోవడం చూసి బాధగా ఉంది, భిన్నమైన అభిప్రాయం కారణంగా మాత్రమే చందాను తీసివేయడం. నిన్ను ఎవరూ ఆపలేరు 👍🏻","Cool bro, sad to see you leave, unsubcribing only because of different opinion. nobody will stop you 👍🏻","Cool bro , sad to see u leave , different opinion అయినంత matrame unsubscribe చేష్ట అని . nobody will stop you 👍🏻 "
4271,@NTR_Madhuu @TfiKingof @T2BLive అలా అయితే నువ్వు షేర్ చేసి చాలా మంచి పని చేశావ్ అన్న 💗,"@NTR_Madhuu @TfiKingof @T2BLive if it's like that , you did a very good thing by sharing bro 💗",@NTR_Madhuu @TfiKingof @T2BLive అలా aithey nv share చేసి చాల  chaalaa మాంచి పాణి చేసావ్ brother 💗
3244,"@Vara_4_Chintu నాకు ఫస్ట్ సర్కిల్‌లో ప్లేస్ ఉంది, మీరు నాకు సెకండ్ సర్కిల్‌లో ప్లేస్ ఇచ్చారా, చింటూ?","@Vara_4_Chintu I have a place in First Circle, did you give me a place in Second Circle, Chintu?",@Vara_4_Chintu నేను నేకు First Circle లో Place ఉంది నువ్ నాకూ Second Circle లో ఇచ్చావ్ కదా సింటూ గా
