L1,L2,CM_candidates,Rating-1,Rating-2
చికిత్స నిమిత్తం వీరిని ప్రత్తిపాడు ఆస్పత్రికి తరలించారు .,They were rushed to the hospital for treatment .,treatment నిమిత్తం వీరిని ప్రత్తిపాడు ఆస్పత్రికి తరలించారు .,5,2
కెఎల్ రాహుల్‌ను అవుట్ చేసిన తర్వాత న్యూజిలాండ్ స్పిన్నర్ మిచెల్ శాంత్నర్ తన జట్టు సభ్యులతో కలిసి వేడుక చేసుకున్నాడు,New Zealand spinner Mitchell Santner celebrates with his teammates after dismissing K . L,New Zealand స్పిన్నర్ Mitchell Santner celebrates తన జట్టు సభ్యులతో కలిసి after dismissing K,3,2
► ఏ విషయంలో మీకు కోపం వస్తుంది ?,What are you so angry about ?,► ఏ you so angry about ?,3,2
అలాగే నేలపై రక్తపు మరకలు ఉన్నాయి .,Blood stains were also found on the floor .,అలాగే floor రక్తపు మరకలు ఉన్నాయి .,4,4
వాళ్ళ ముఖాలలో ఏ భావం వ్యక్తం కావడంలేదు .,Their faces dont express anything .,Their ముఖాలలో dont express anything .,4,3
భారతదేశంలోనే అత్యుత్తమ విద్యాసంస్థ అయిన ఇండియన్‌ ఇన్‌స్టిట్యూట్‌ ఆఫ్‌ సైన్స్‌ఐఐఎస్‌సీ బెంగళూరు ఈ సారి తన ర్యాంకును దిగజార్చుకున్నది .,"The Indian Institute of Science IISc , Bangalore was rated India's top institution .","The ఇండియన్‌ Institute of Science IISc , బెంగళూరు was rated భారతదేశంలోనే",3,4
ఈ పత్రము కొరకు ఏ కొత్త ఖతులు కనుగొనబడలేదు,No new fonts can be found for this document,ఏ new ఖతులు కనుగొనబడలేదు for this document,5,2
ఈ ఘటనలో నలుగురు విద్యార్థులు తీవ్రంగా గాయపడ్డారు .,Four students were injured in the incident .,ఈ ఘటనలో నలుగురు students తీవ్రంగా గాయపడ్డారు .,5,5
"అయితే , పోలీసులు ఏ మాత్రం తగ్గలేదు .","However , police didnt turn up .","అయితే , పోలీసులు didnt turn up .",5,4
"భలే సరదాగా ఉంది"" అని భగ్‌వాన్‌ సంతోషంతో చెప్పాడు . ","Its been quite fun , he said .","quite సరదాగా ఉంది"""" సంతోషంతో చెప్పాడు . """,4,2
"అదే విధంగా క్రమమైన ఆధ్యాత్మిక కార్యకలాపాలు ఎలాంటి మానసిక , ఆధ్యాత్మిక అలసట భావాలనైనా పోగొట్టుకొనేలా సహాయం చేస్తాయి .",What comfort does the Bible provide for faithful ones who are advanced in age or who are ill ?,అదే విధంగా క్రమమైన ఆధ్యాత్మిక కార్యకలాపాలు ఎలాంటి మానసిక advanced భావాలనైనా comfort చేస్తాయి,5,3
వీటిని సకాలంలో అందించేందుకు పోస్టర్ సిబ్బంది రాత్రింబవళ్ళు పని చేస్తున్నారు .,The India Post staff is working round the clock to ensure timely deliveries .,The India Post సిబ్బంది is working round the clock,4,5
దానివల డ్రైనేజీ సిస్టం దెబ్బతిని నీటి సరఫరా ఆగిపోతుంది .,This obstructs the flow of water and chokes the drain .,దానివల drain దెబ్బతిని water ఆగిపోతుంది .,3,4
ఆపాత్రకు సినిమాలో చాలా ప్రాధాన్యం ఉంది .,This role is very central to the film .,central సినిమాలో చాలా ప్రాధాన్యం ఉంది .,2,4
వారందరినీ పట్టణంలోని ప్రభుత్వాసుపత్రి సహా వివిధ ఆసుపత్రులకు తరలించారు .,They were all admitted to different hospitals in the city .,They వారందరినీ city సహా different hospitals తరలించారు,3,4
"తెలుగు , తమిళ భాషల్లో ఏకకాలంలో ఈ సినిమా విడుదల కాబోతోంది .",The film will be released simultaneously in Telugu and Malayalam .,"తెలుగు , Malayalam భాషల్లో ఏకకాలంలో ఈ film విడుదల కాబోతోంది .",5,3
అర్హత: ఏదైనా డిగ్రీ ఉత్తీర్ణతతోపాటు క్యాట్‌/ జీఆర్‌ఈ/ జీమ్యాట్‌/ సీమ్యాట్‌ స్కోరు కలిగి ఉండాలి .,Eligiblity: MBA: Any degree with a valid CAT/XAT/TANCET/MAT/GMAT/CET Score .,MBA ఉండాలి క్యాట్‌/ జీఆర్‌ఈ/ జీమ్యాట్‌/ సీమ్యాట్‌ valid కలిగి ఉండాలి .,1,4
"అరటిపళ్ళు , మామిడి పళ్ళంటే చాలా ఇష్టం .",I love walnuts and almonds .,"almonds , మామిడి చాలా ఇష్టం .",5,4
కానీ వచ్చే ఏడాది సాధారణ ఎన్నికలు జరగనున్నాయి .,But elections are held annually .,కానీ elections are జరగనున్నాయి annually .,4,3
ఘటనాస్థలికి చేరుకున్న పోలీసులు నిందితులను స్టేషన్ కు తరలించారు .,The police reached the spot and took the accused to the police station .,ఘటనాస్థలికి చేరుకున్న పోలీసులు నిందితులను station .,3,4
ప్రియాంక గాంధీ కేవలం కాగితం పులి మాత్రమేనని ఎద్దేవా చేశారు,"Priyanka Gandhi a 'paper tiger' , says Smriti Irani",ప్రియాంక గాంధీ a 'paper tiger,2,4
ఎయిర్‌టెల్‌ ఈ ఆఫర్ తో పాటు రూ .,Airtel also offers the Rs .,Airtel పాటు offers the Rs .,3,2
ఈ పనిని యెహోవాయే స్వయంగా చేయగలడు .,He could have chosen to speak directly from heaven to people on earth .,people on earth స్వయంగా చేయగలడు .,1,2
"హిల్లరీ క్లింటన్ , డోనాల్డ్ ట్రంప్‌ల తీవ్రమైన పోటీ ఉంది",Admittedly the contest between Hillary Clinton and Donald Trump is very tight,హిల్లరీ Clinton and డోనాల్డ్ ట్రంప్‌ల తీవ్రమైన contest ఉంది,5,4
"మెంటర్ ఇండియా' దరఖాస్తుల కోసం ఆహ్వానం , అప్లై ఇలా",Niti Aayog invites application for 'Mentor India' initiative,మెంటర్ ఇండియా' application కోసం ఆహ్వానం,2,4
వారిలో నలుగురు భారతీయులు కూడా ఉన్నారు .,Among them are four Indian films .,Among them నలుగురు Indian films ఉన్నారు .,3,5
ఇందులో బీజేపీ అధ్యక్షుడు అమిత్ షా తదితరులు పాల్గొన్నారు .,BJP President Amit Shah also attended it .,బీజేపీ అధ్యక్షుడు Amit Shah also attended it .,5,4
ప్రమాద ఘటనలో చనిపోయిన వారి కుటుంబ సభ్యులకు తన ప్రగాఢ సానుభూతిని తెలియజేశారు .,He expressed his condolence to the families of those who are killed or injured in the incident .,expressed his ప్రగాఢ సానుభూతిని తెలియజేశారు .,3,2
సందర్శన వేళల్లో మాత్రం ఎలాంటి మార్పూ లేదు,No changes at the break,No మార్పూ at,1,2
వీరు భారత్‌కు చెందిన రహస్య సంస్థ రీసెర్చ్ అండ్ అనాలి సిస్ వింగ్ రా తరుపున పనిచేస్తున్నారని పేర్కొంది .,They claim he was working for the Indian intelligence agency R&AW .,They claim he was working for the Indian intelligence agency అనాలి సిస్ వింగ్,1,4
"చిత్ర ద‌ర్శ‌కుడు ఎన్ . శ్రీధ‌ర్ మాట్లాడుతూ , `",says the film's director N . Chandra .,"చిత్ర 's director N శ్రీధ‌ర్ మాట్లాడుతూ ,",2,3
ఆటగాడిగా అతను ఇప్పటికీ విధ్వంసకుడేనని గవాస్కర్ అన్నాడు .,"As a player , he is still a destroyer , says Sunil Gavaskar .",ఆటగాడిగా అతను is still destroyer గవాస్కర్ అన్నాడు .,4,3
"బైబిలుకు నకలు రాసే లేఖికులు , తప్పులు చేశారనే చెప్పాలి .","Bible copyists , of course , made mistakes .","బైబిలుకు copyists , of course ,",1,1
హైదరాబాద్‌: తెలంగాణ తెలుగుదేశం పార్టీ రానున్న పార్లమెంటు ఎన్నికలకు సన్నద్దం అవుతోంది .,Hyderabad: Telugu Desam Party TDP has stepped away from contesting in the Telangana Lok Sabha elections .,Hyderabad తెలంగాణ తెలుగుదేశం పార్టీ ఎన్నికలకు సన్నద్దం పార్లమెంటు Sabha అవుతోంది elections,2,4
సుమారు 500 మంది ఉద్యోగులు ఈ సంస్థ కోసం పనిచేస్తున్నారు .,The unit employs around 500 workers .,The unit employs సుమారు 500 workers,3,2
ఏ శరీర భంగిమతో మనం ప్రార్థించాలి ?,Jesus said: Ask and you will receive .,మనం said : Ask and,1,1
"10 , 000 సీఎన్జీ స్టేషన్ల ఏర్పాటుకు ముందుకొచ్చిన కేంద్రం","Thoughts On The Government Setting Up 10 , 000 CNG Stations In India","10 , 000 సీఎన్జీ స్టేషన్ల ఏర్పాటుకు Government",2,3
ఎక్కడా ఒక్క అవినీతికి పాల్పడినట్లు ఆరోపణలు లేవు .,There are no charges of any corruption .,any అవినీతికి పాల్పడినట్లు ఆరోపణలు లేవు .,5,3
దీని వలన కృష్ణ పదార్థం మాదిరిగానే ఇవి కూడా ఆసక్తికరంగా మారాయి .,Anything these shards touched became dark as well .,Anything these పదార్థం మాదిరిగానే became కృష్ణ as,1,2
వివాదాస్పద వీరుడు రామ్‌ గోపాల్‌ వర్మ దుమారం రేపాడు .,Ram Gopal Varma is controversy's child .,వీరుడు రామ్‌ గోపాల్‌ వర్మ is,1,2
"కాగా , పోలీసులు నిందితుడిని అరెస్టు చేశారు",Police have arrested one of the accused,"కాగా , పోలీసులు accused అరెస్టు చేశారు",4,3
బెంగళూరు: దేశవ్యాప్తంగా కరోనావైరస్ మహమ్మారి విజృంభిస్తున్న తరుణంలో లాక్ డౌన్ విధించిన నేపథ్యంలో ఓ యువకుడు విసిగిపోయి విచిత్రమైన పనికి ఒడిగట్టాడు,Bengaluru: The entire world is celebrating Easter in confined homes due to coronavirus lockdown,బెంగళూరు: is యువకుడు to లాక్ డౌన్ విధించిన నేపథ్యంలో విచిత్రమైన,2,2
జరిగిన ఘటనపై వైసీపీ అధినేత వైఎస్ జగన్ మోహన్ రెడ్డి సీరియస్ అయినట్లు పార్టీ వర్గాలు చెబుతున్నారు .,YSRCP chief YS Jagan Mohan Reddy expressed deep shock at the incident .,YSRCP అధినేత వైఎస్ Jagan Mohan Reddy expressed deep shock జరిగిన incident,4,2
ఆ తరువాత ప్రస్తుత ఆర్థిక మంత్రి నిర్మలా సీతారమనే కావడం విశేషం .,Nirmala Sitharaman was subsequently chosen as the Finance Minister .,ఆ subsequently ప్రస్తుత ఆర్థిక Minister నిర్మలా సీతారమనే కావడం విశేషం .,5,4
అమిత్ షా రాజీనామా చేయాలి: సోనియా డిమాండ్,Sonia demanded Amit Shah's resignation,సోనియా demanded అమిత్ షా రాజీనామా చేయాలి:,4,4
అప్పటికే అనన్య చనిపోయినట్టు పోలీసులు తెలిపారు .,"He was already dead , the police said .",అప్పటికే అనన్య dead పోలీసులు తెలిపారు .,4,3
గతంలో అబ్రహాంకు ఏం జరిగిందో దాన్ని మార్చలేదుగానీ దేవుని వాక్యాన్ని చదివి ధ్యానించడం ఆయన ఆలోచనా సరళి సృష్టికర్త ఆలోచనా సరళికి అనుగుణంగా మారేలా చేసింది .,It could not change what had happened to Abraham .,It could not change what had జరిగిందో,2,2
ఈ ఎదురు కాల్పుల్లో ఇద్దరు జవాన్లు అమరులయ్యారు .,Two jawans were killed in the attack .,the ఎదురు కాల్పుల్లో Two జవాన్లు అమరులయ్యారు .,4,3
ముందు భాగంలో 32 మెగాపిక్సెల్ సెల్ఫీ కెమెరా అమర్చారు .,The front has a 32-megapixel selfie camera .,The ముందు భాగంలో has a 32-megapixel selfie,2,4
300 మంది రుత్వికులు యాగ నిర్వహణలో పాల్గొంటున్నారు .,About 300 persons are participating in the yatra .,About 300 are participating యాగ నిర్వహణలో,3,4
అమరావతి: నిరుద్యోగ యువతకు ఆంధ్ర ప్రదేశ్ ప్రభుత్వం మరో శుభవార్త అందించింది .,Vijayawada: Here is the good news from Andhra Pradesh state government for unemployed youth .,Vijayawada నిరుద్యోగ unemployed ఆంధ్ర ప్రదేశ్ ప్రభుత్వం మరో శుభవార్త అందించింది youth,2,3
కారు డ్రైవర్‌ అతి వేగంతో వాహనాన్ని నడపడమే ఈ ప్రమాదానికి కారణంగా తెలుస్తోంది,The police suspect the car driver to have dozed off while driving which led to the accident,The police suspect the కారు to have dozed off,2,4
అక్కడి నుంచి చాలా సినిమాల్లో క్యారెక్టర్ ఆర్టిస్టుగానూ మెప్పించారు .,Since then he has starred in a lot of films .,Since అక్కడి he has,1,1
కొత్త పన్ను విధానంలో నిర్దిష్ట పన్ను మినహాయింపులు పొందకుంటే తక్కువ పన్ను రేట్లు వర్తిస్తాయి .,"Under the new income tax regime , you will also benefit from the lower tax rates .","new పన్ను విధానంలో , you తక్కువ rates వర్తిస్తాయి .",2,2
12 . 2016513 . వామపక్ష తీవ్రవాద ప్రభావిత ప్రాంతాలకు రహదారి సంధానత ప్రాజెక్టుకు మంత్రిమండలి ఆమోదం .,Cabinet approves Road Connectivity Project for Left Wing Extremism Affected Areas,Cabinet approves Road Connectivity Project for Left Wing Extremism ప్రభావిత,1,2
"రాహుల్ గాంధీకి , మమతా బెనర్జీలకు ఆయన కృతజ్ఞతలు తెలిపారు","BJP lashes out at Rama Mohana Rao for thanking Rahul , Mamata","Rahul , Mamata ఆయన కృతజ్ఞతలు తెలిపారు",1,3
షోయబ్‌‌ ప్రముఖ భారత టెన్నిస్‌ క్రీడాకారిణి సానియా మీర్జాను వివాహం చేసుకున్న సంగతి తెలిసిందే,Indian tennis star Sania Mirza is one of the most gifted players we have,షోయబ్‌‌ ప్రముఖ Indian టెన్నిస్‌ సంగతి తెలిసిందే చేసుకున్న మీర్జాను వివాహం,1,4
ఒకటవ దశ క్లినికల్ ట్రయల్స్ తో పాటు చిట్టెలుక మరియు రీసస్ మకాక్లలో సమాంతర అధ్యయనాలు పూర్తయ్యాయి .,Phase I clinical trials alongwith parallel studies in hamsters and rhesus macaques have been completed,ఒకటవ I clinical పాటు parallel అధ్యయనాలు hamsters మరియు రీసస్ మకాక్లలో,2,2
"కుంగ్ ఫూ యోగా' , 'ధోని: ది అన్‌టోల్డ్ స్టోరీ' , ' బాఘీ 2' సినిమాలతో సత్తా చాటింది దిశా .",Dhoni: The Untold Story after which she was seen in films like Kung Fu Yoga and Baaghi 2 .,కుంగ్ ఫూ Fu Yoga అన్‌టోల్డ్ స్టోరీ' ది అన్‌టోల్డ్ స్టోరీ' after బాఘీ 2' సినిమాలతో సత్తా చాటింది 2,1,2
అతను పవన్ కళ్యాణ్ కి ఎంత పెద్ద ఫ్యాన్ ఓ అందరికి తెలిసిందే .,Everyone knows that Nithiin is a big fan of Pawan Kalyan .,పవన్ కళ్యాణ్ కి big fan ఓ అందరికి తెలిసిందే .,3,4
ఇదిలావుంటే ఆదిలాబాద్ జిల్లాలో కొత్తగా 9 కరోనా వైరస్ పాజిటివ్ కేసులు నమోదయ్యాయి,He also added that there are 12 positive cases of coronavirus in the district,ఇదిలావుంటే district కొత్తగా 9 కరోనా వైరస్ positive cases,4,4
"""చాలా కఠినమైన సమయం ఉంటుంది మరియు ఇది సులభం కాదు . ",It is a very difficult time and conditions are not easy .,It is a very కఠినమైన సమయం and సులభం కాదు .,5,4
స్వరూప్ నగర్ లోని అతడి ఇంట్లో నుంచి రెండు ఖడ్గాలను స్వాధీనం చేసుకున్నట్టు పేర్కొన్నారు .,Two swords recovered from his house in Swaroop Nagar .,స్వరూప్ నగర్ లోని his ఇంట్లో నుంచి రెండు ఖడ్గాలను స్వాధీనం చేసుకున్నట్టు .,2,3
ఆ దంపతులకు ఒక కుమారుడు ఉన్నాడు .,The couple had a son .,The couple had ఒక son .,5,3
"సాక్షి , న్యూఢిల్లీ : కెనడా ప్రధాని జస్టిన్ ట్రూడో కుటుంబసభ్యులతో కలిసి ఆదివారం ఉదయం తాజ్‌మహల్‌ను సందర్శించారు",New Delhi: Prime Minister Narendra Modi on Friday received his Canadian counterpart Jutin Trudeau ahead of their bilateral summit here,సాక్షి ahead న్యూఢిల్లీ : counterpart ప్రధాని Jutin కుటుంబసభ్యులతో కలిసి ఆదివారం ఉదయం,2,3
2001 లో ఆ పార్టీ నుండి వైదొలగి తెలంగాణా రాష్ట్ర సమితి తెరాస పేరిట ఒక రాజకీయ పార్టీ ని ఏర్పాటు చేసాడు .,He came out of that party in 2001 and started a newpolitical party with the name Telangana rastra samithi . TRS,He came ఆ party నుండి and started a newpolitical party with the,2,3
స్వాతంత్య్ర దినోత్సవ వేడుకల్లో భాగంగా ప్రధాని నరేంద్రమోడీ ఎర్రకోటపై జాతీయ జెండాను ఆవిష్కరించారు .,Prime Minister Narendra Modi unfurled the National Flag at the ramparts of the Red Fort on Independence Day .,స్వాతంత్య్ర దినోత్సవ వేడుకల్లో the ramparts ప్రధాని నరేంద్రమోడీ ఎర్రకోటపై జాతీయ Flag ఆవిష్కరించారు .,3,4
"ఇటువంటి భయంకరమైన నేరస్థులను వీధుల్లోంచి తరిమికొట్టాలంటే మరింత కఠినమైన చట్టాలు , ఫాస్ట్ ట్రాక్ కోర్టులు అవసరమని ఆయన అభిప్రాయపడ్డారు .",We need more stringent laws and fast track courts to take these horrendous offenders off our streets .,We need మరింత stringent చట్టాలు and ఫాస్ట్ ట్రాక్ courts to take these,4,3
కానీ వాస్తవ పరిస్థితుల్లో ఇది సాధ్యం కాదు .,"But in reality , its not the case .","But in వాస్తవ , its not",1,2
బార్‌ కార్యక్రమపు ప్రధాన ప్రసంగాన్ని ఇచ్చారు .,The school helped us to accept new cultures .,The school helped ఇచ్చారు .,4,2
"సన్ పిక్చర్స్ సంస్థ నిర్మిస్తున్న ఈ భారీ చిత్రంలో మీనా , నయనతార , కీర్తి సురేష్ , ఖుష్బూ లాంటి స్టార్లు నటిస్తున్నారు .","The film has Nayanthara , Meena , Khushbu , Keerthy Suresh , Soori , Sathish playing important roles .","సంస్థ నిర్మిస్తున్న ఈ భారీ చిత్రంలో మీనా , నయనతార , కీర్తి Suresh ఖుష్బూ roles .",3,3
దీంతో చర్మం పొడిబారి దురద రావచ్చు .,It can cause skin irritation .,It can cause చర్మం పొడిబారి దురద,3,2
ఈ చిత్ర షూటింగ్ ఇటీవల పూర్తి అయ్యింది .,The film recently wrapped up shooting .,The ఇటీవల wrapped up shooting .,4,1
ఒక్క రోజు దీక్ష ఎప్పుడనేది త్వరలోనే ప్రకటించనుంది .,The date of the inauguration will be declared soon .,declared ఎప్పుడనేది soon ప్రకటించనుంది .,3,1
అతనితో చేసిన చాటింగ్‌ను తన ఫేస్‌బుక్ పేజీలో పోస్ట్ చేసింది .,He posted her response on his Facebook page .,He అతనితో చేసిన చాటింగ్‌ను తన Facebook page పోస్ట్ చేసింది,4,3
ఆ తర్వాత అసలు కారణం వెలుగు చూసింది .,"Later of course , the real reason was discovered .","ఆ తర్వాత , the అసలు was",1,1
ఇక్కడ ఒక పురాతన కోట ఉంది .,There is an old fort here .,ఇక్కడ an పురాతన కోట ఉంది .,4,4
ఇది కేవలం పాత కాలం నుంచి వస్తున్న ఒక ఆచారం .,It's a tale as old a time .,It 's a tale పాత a,2,1
36 రాఫెల్ యుద్ధ విమానాల కోసం ఫ్రాన్స్‌తో భారత్ ఒప్పందం కుదుర్చుకున్న విషయం విదితమే .,Deal for 36 Rafale fighter jets between India and France signed .,Deal for 36 రాఫెల్ యుద్ధ విమానాల between India and ఫ్రాన్స్‌తో signed,3,2
ఇదే నియోజకవర్గం నుండి వరుసగా నాలుగు సార్లు శాసన సభ్యునిగా ఎన్నికయ్యారు .,He was re-elected from the same constituency for four times .,నుండి the same constituency for four times శాసన సభ్యునిగా ఎన్నికయ్యారు .,3,2
నేను చివరికి నేను ఆదేశించింది ఈ కొత్త మంచం వచ్చింది .,So I finally got this new bed that I ordered .,నేను చివరికి నేను got ఆదేశించింది this new bed,2,2
హైదరాబాద్‌లోనే ఈ భేటీ జరిగే అవకాశం ఉంది .,"""The meeting will be held in Hyderabad . ",హైదరాబాద్‌లోనే ఈ భేటీ జరిగే అవకాశం ఉంది held,2,2
అమెరికాలో ఓ ఘటన కలకలం సృష్టించింది .,The event has caused anger in the US .,The event has కలకలం anger in the,1,2
పోలీసుల విధులకు ఆటంకం కలిగించారనే ఆరోపణపై ఆయనను అరెస్టు చేసినట్లు తెలుస్తోంది .,He has been charged with obstructing the work of police officers .,police officers ఆటంకం కలిగించారనే ఆయనను charged చేసినట్లు తెలుస్తోంది .,5,4
అందుకు ప్రధాన కారణం ఆయన వ్యక్తిత్వం .,The main reason is his psyche .,The main reason is his వ్యక్తిత్వం .,5,4
పట్టపగలు కిడ్నాప్ చేయడంతో స్థానికులు పోలీసులకు ఫిర్యాదు చేశారు .,The locals filed a complaint in relation to the case with the police .,పట్టపగలు relation చేయడంతో locals పోలీసులకు ఫిర్యాదు చేశారు .,4,3
ఈ విషయాన్ని ప్రధాని నరేంద్ర మోదీ దృష్టికి తీసుకెళ్తానని ఈ సందర్భంగా వారికి హామీ ఇచ్చారు .,He said he will take the matter to the notice of Prime Minister Narendra Modi .,the matter to Prime Minister Narendra Modi దృష్టికి తీసుకెళ్తానని హామీ ఇచ్చారు .,4,2
రాష్ట్రంలో అధిక భాగం సముద్రమట్టానికి సమంగా లేక కొంచెం ఎత్తుగా ఉంటుంది .,Much of the state is at or near sea level .,Much of the రాష్ట్రంలో is at or near sea level .,4,3
అందులో అన్ని సదుపాయాలు మీకు లభిస్తాయి .,It will have all the amenities .,అన్ని amenities మీకు లభిస్తాయి .,5,5
ఒక ఫుట్బాల్ మైదానంలో మరియు టెన్నిస్ కోర్టులు ఉంది .,It has a tennis court and basketball ground .,ఒక ఫుట్బాల్ మైదానంలో మరియు tennis court ఉంది .,3,4
"ఆయన పేరు మీద నరసరావుపేట , దుగ్గిరాలలో రెండు కళాశాలలు నెలకున్నాయి .","According to the Russia Today , he held two university degrees .","According Russia Today , he held two university నెలకున్నాయి .",1,2
చైనా స్మార్ట్ ఫోన్ సంస్థల్లో ఒక్కటైన మెయ్ జు తాజాగా విపణిలోకి 16ఎక్స్ఎస్ మోడల్ ఫోన్ ను ఆవిష్కరించింది .,Meizu announces its new mid-range smartphone in China called the Meizu 16Xs .,చైనా స్మార్ట్ ఫోన్ సంస్థల్లో ఒక్కటైన మెయ్ జు new ను ఆవిష్కరించింది .,4,4
"“ నేను ఒక క్యాథలిక్‌గా పెరిగాను , క్యాథలిక్‌ బోర్డింగ్‌ స్కూల్లో చదువుకున్నాను .","She now works as a clinical nurse specialist in the Urology Department of a hospital in Manchester , England .",She నేను works as a,1,2
పోలీసులు కేసు నమోదు చేసి దర్యాప్తు చేపట్టారు,Police registered a case and the investigation is on,Police registered a కేసు and,2,2
"కాలనీలు , అపార్టుమెంట్లలో నిలిచిన నీళ్లను తొలగించడానికి మెట్రో వాటర్‌ వర్క్స్ , ఫైర్‌ సర్వీస్‌ సేవలను విని యోగించుకోవాలని సూచించారు .",The CM suggested the use of Metro Water Works and Fire Services help to drain the water out .,The CM suggested the use of మెట్రో Water Works and Fire సర్వీస్‌ సేవలను help,3,1
ఆండ్రాయిడ్ వన్‌లో ఈ కంపెనీ నుంచి వచ్చిన తొలి స్మార్ట్ ఫోన్ ఇదే కావడం గమనార్హం .,This is the company's first Android One phone in India .,ఆండ్రాయిడ్ వన్‌లో company తొలి One ఇదే కావడం గమనార్హం India,1,2
మార్కెట్లో ఎన్నో రకాల నిచ్చెనలు అందుబాటులో ఉన్నాయి .,There are many types of pillows available in the market .,market ఎన్నో రకాల నిచ్చెనలు available ఉన్నాయి .,4,3
‘ఈ సినిమాకి జాతీయ అవార్డులు వ‌స్తాయి .,"""She will get a National Award for the film . ",‘ఈ Award జాతీయ అవార్డులు వ‌స్తాయి .,2,3
"హే , నేను మీ నొప్పి , అనుభూతి .","Hey , I feel your pain , I do .","Hey , I feel your నొప్పి ,",4,3
"ఈదురుగాలులతో పాటు , కొన్నింటిలో సాంకేతిక లోపం తలెత్తటంతో సీసీ కెమెరాలు పనిచేయటంలేదని పోలీసులు చెబుతున్నారు",Police claimed that the CCTV cameras were not working as there was power outage when the incident took place,Police claimed that the CCTV cameras were not working as there was ఈదురుగాలులతో,3,1
నేడు కూడా పరిస్థితులు అందుకు భిన్నంగా ఏమీ లేవు .,a To whom do people turn for advice ?  b What kind of advice is dispensed ?,నేడు turn అందుకు భిన్నంగా ఏమీ లేవు,2,3
ఇప్పటివరకు భారతదేశంలో జరిగిన అనేక ఉగ్రవాద దాడులకు సూత్రధారి జైషే మహ్మద్ చీఫ్ మసూద్ అజహర్ .,"Masood Azhar is the chief of Jaish-e-Mohammed , which has been behind several terror attacks in India .","Jaish-e-Mohammed , has been భారతదేశంలో terror అనేక terror సూత్రధారి chief మసూద్ అజహర్ .",2,3
మ‌రి ఇప్ప‌టికైనా ఈ ప్రాజెక్టుకు ముంద‌డుగు ప‌డుతుందంటారా ?,Is the project still on ?,ఇప్ప‌టికైనా ఈ project still on ?,4,4
సినిమాలో కీలక పాత్రలో బెల్లంకొండ సాయి శ్రీనివాస్‌ నటించబోతున్నాడు .,Sai Srinivas Bellamkonda plays the lead role in the film .,సినిమాలో role బెల్లంకొండ సాయి Srinivas నటించబోతున్నాడు .,4,5
ఈ సినిమా చేయడం థ్రిల్‌గా ఫీల్ అయ్యాను .,"I enjoyed doing this movie , it was fun .","enjoyed doing this సినిమా ఫీల్ అయ్యాను ,",2,3
ఈ మేరకు ప్రధాని నరేంద్రమోడీకి ఆమె లేఖ కూడా రాశారు .,"In this regard , the CM wrote a letter to PM Narendra Modi .","ఈ regard , the CM wrote a",1,1
కారులో ఇరుక్కుపోయిన క్షతగాత్రులను జిల్లా ప్రభుత్వ ప్ర ధాన ఆస్పత్రికి తరలించారు .,The injured were admitted to the district's government hospital .,కారులో ఇరుక్కుపోయిన క్షతగాత్రులను district ప్రభుత్వ ప్ర ఆస్పత్రికి తరలించారు hospital,3,4
"ఈ చట్టాని కి అనుగుణం గా నౌకల లో ప్రమాదకర పదార్థాల వాడకాని కి సంబంధించి వాటిపై సర్వే , ధ్రువీకరణ పొందాల్సి ఉంటుంది .",Ships shall be surveyed and certified on the inventory of hazardous material used in ships .,Ships shall be surveyed and certified on the వాడకాని of,2,1
"అలాగే సేవ‌లు , పెట్టుబ‌డుల‌పైనా ఒప్పందాల‌పై సంప్ర‌దింపుల‌ను వేగిరం చేయాల‌ని టి ఎన్ సి ని ఆదేశించాం .",We also direct the TNC to expedite the negotiations on the Agreements on Services and Investment .,"also సేవ‌లు , పెట్టుబ‌డుల‌పైనా ఒప్పందాల‌పై సంప్ర‌దింపుల‌ను వేగిరం చేయాల‌ని Services ని ఆదేశించాం .",5,3
UPSCలో ఉద్యోగాలు: మెడికల్ ఆఫీసర్ ఆంథ్రోపాలజిస్ట్ పోస్టులకు అప్లయ్ చేయండి,UPSC jobs in Intelligence Bureau notified,UPSCలో ఉద్యోగాలు: in,1,2
త్వరలో ఇండియాలో అందుబాటులోకి వచ్చే అవకాశం ఉంది .,It will soon be available in India as well .,It will soon be ఇండియాలో available ఉంది,3,3
కానీ రుచి మాత్రం అంతగా ఉండదు .,But the taste didnt match up .,But the అంతగా ఉండదు match up,2,3
ప్రముఖ సినిమాటోగ్రఫర్ రాజీవ్ రవి కెమెరా వర్క్ అందిస్తున్న ఈ సినిమాకు విశాల్ – శేఖర్ సంగీతం సమకూర్చనున్నారు .,The music for the film is scored by Vishal-Shekar and the cinematography is by Rajeev Ravi .,ప్రముఖ సినిమాటోగ్రఫర్ రాజీవ్ రవి cinematography అందిస్తున్న ఈ film – సంగీతం సమకూర్చనున్నారు .,4,3
అతని ఆచూకి కోసం పోలీసులు గాలిస్తున్నారు .,Police are searching for his whereabouts .,Police are searching for అతని whereabouts .,5,4
ఈ చిత్రంలో బాలీవుడ్‌ నటుడు సైఫ్‌ అలీఖాన్‌ విలన్‌గా కనిపిస్తారు .,Bollywood actor Saif Ali Khan will be playing the villain in the movie .,బాలీవుడ్‌ actor Saif Ali Khan will be playing the విలన్‌గా,3,3
